0.20684731	""
0.02807232	""
0.84639291	""
0.99433637	""
0.56442828	""
0.08738298	""
0.56190288	""
0.24549513	""
0.41260020	""
0.55724873	""
0.58051453	""
0.94031519	""
0.87098847	""
0.75773179	""
0.62194152	""
0.72750573	""
0.57776109	""
0.96828217	""
0.41663137	""
0.61482960	""
0.62538203	""
0.11277487	""
0.85972861	""
0.58014633	""
0.49540631	""
0.14798698	""
0.41918429	""
0.37010631	""
0.59794029	""
0.22336176	""
0.89232612	""
0.17746899	""
0.96635367	""
0.51471900	""
0.27950175	""
0.75602399	""
0.70181262	""
0.41111440	""
0.89830578	""
0.98845279	""
0.47829478	""
0.87288755	""
0.33955323	""
0.68353097	""
0.15194432	""
0.27941417	""
0.12087295	""
0.18533435	""
0.34352315	""
0.28350854	""
0.56634294	""
0.35402859	""
0.56039550	""
0.36527398	""
0.96686495	""
0.21022417	""
0.91922512	""
0.11825614	""
0.13669096	""
0.51442692	""
0.13442858	""
0.46582343	""
0.85599033	""
0.96056908	""
0.45098931	""
0.17812442	""
0.88594211	""
0.27007090	""
0.28595349	""
0.51005357	""
0.04679713	""
0.17661933	""
0.81952065	""
0.92468668	""
0.92467800	""
0.61175679	""
0.39462805	""
0.88067303	""
0.82208853	""
0.37749874	""
0.46833768	""
0.45193949	""
0.20594238	""
0.55337094	""
0.02964373	""
0.02362851	""
0.70174936	""
0.91932818	""
0.44958320	""
0.39832070	""
0.09884868	""
0.01917006	""
0.57748029	""
0.33633293	""
0.95558441	""
0.59010857	""
0.73570622	""
0.31598985	""
0.48658211	""
0.75881744	""
0.52069395	""
0.10542127	""
0.02535519	""
0.98243958	""
0.79460561	""
0.88809895	""
0.63161118	""
0.21638073	""
0.86191558	""
0.67311977	""
0.47823071	""
0.14956251	""
0.40085163	""
0.28779010	""
0.58500548	""
0.22959370	""
0.89170286	""
0.18443134	""
0.37045956	""
0.11363781	""
0.66898937	""
0.67515649	""
0.07960848	""
0.83097149	""
0.07871428	""
0.13593194	""
0.85696058	""
0.24924938	""
0.07844856	""
0.08219789	""
0.44199947	""
0.77537408	""
0.74955746	""
0.79475384	""
0.99135853	""
0.89963868	""
0.08824452	""
0.64955796	""
0.29870465	""
0.45171978	""
0.16154759	""
0.86410634	""
0.76208872	""
0.95708819	""
0.48387570	""
0.46548761	""
0.63210872	""
0.82835839	""
0.57691954	""
0.04032244	""
0.85721348	""
0.33859788	""
0.44016142	""
0.42471252	""
0.21371824	""
0.35654354	""
0.66560736	""
